GCP1,2765167.560,1254852.588,403.489,0.008,0.012
GCP2,2765126.718,1254864.471,403.376,0.008,0.012
GCP3,2765085.886,1254876.364,403.268,0.008,0.012
GCP4,2765120.007,1254925.120,403.236,0.008,0.012
GCP5,2765154.236,1255398.678,403.159,0.007,0.010
GCP6,2765188.471,1255872.238,403.082,0.007,0.010
GCP7,2765194.356,1255895.246,404.469,0.007,0.010
GCP8,2765107.047,1255056.303,404.109,0.012,0.013
GCP9,2765019.739,1254217.362,403.752,0.009,0.011
GCP10,2765000.784,1254206.568,403.617,0.009,0.011
GCP11,2764929.779,1254152.320,403.917,0.010,0.011
GCP12,2764858.763,1254098.066,404.217,0.010,0.012
GCP13,2765144.492,1254324.647,403.106,0.009,0.011
GCP14,2765181.759,1254431.781,403.393,0.009,0.011
GCP15,2765219.024,1254538.911,403.685,0.009,0.011
GCP16,2765211.689,1254545.220,403.603,0.009,0.011
GCP17,2765204.352,1254551.511,403.522,0.009,0.011
GCP18,2765500.584,1254968.818,403.734,0.009,0.011
GCP19,2765492.840,1254966.950,403.741,0.009,0.012
GCP20,2765485.086,1254965.078,403.742,0.011,0.017
GCP21,2765505.179,1254971.147,403.780,0.020,0.031
GCP22,2765557.444,1254982.387,403.579,0.008,0.013
GCP23,2765609.717,1254993.635,403.375,0.009,0.013
GCP24,2766082.598,1256427.873,404.349,0.008,0.013
GCP25,2765987.310,1256337.095,404.328,0.009,0.016
GCP26,2765892.027,1256246.320,404.305,0.009,0.016
GCP27,2765836.551,1256190.044,404.136,0.009,0.015
GCP28,2765725.614,1256077.491,403.796,0.009,0.015
GCP29,2765746.758,1256100.343,403.627,0.009,0.015
GCP30,2765767.908,1256123.199,403.469,0.009,0.016
GCP31,2765829.636,1256218.195,403.778,0.009,0.014
GCP32,2765891.361,1256313.197,404.096,0.009,0.015
GCP33,2766033.908,1256414.863,403.858,0.009,0.013
GCP34,2766094.339,1256475.423,404.038,0.011,0.016
GCP35,2766154.782,1256535.966,404.225,0.011,0.016
GCP36,2766220.688,1256566.356,405.130,0.014,0.021
GCP37,2766208.923,1256536.984,405.006,0.014,0.021
GCP38,2766185.394,1256478.254,404.794,0.014,0.022
GCP39,2765125.339,1255812.567,403.576,0.008,0.011
GCP40,2765119.723,1255811.441,403.772,0.007,0.011
GCP41,2765114.108,1255810.309,403.958,0.007,0.011
GCP42,2765124.530,1255829.880,403.317,0.010,0.015
